wl,n
0.3100,2.1759394676161
0.3619,2.1244526847835
0.4139,2.0934554672447
0.4658,2.0731921339333
0.5178,2.0590472271639
0.5697,2.0487351006665
0.6216,2.0409071028311
0.6736,2.0347606435188
0.7255,2.0298173905897
0.7775,2.0257264818369
0.8294,2.0222778887066
0.8813,2.0193047731615
0.9333,2.0166885210243
0.9852,2.0143553731414
1.037,2.0122412318597
1.089,2.0102866760229
1.141,2.0084631742011
1.193,2.0067417199434
1.245,2.0050993473208
1.297,2.0035176751298
1.349,2.0019818454037
1.401,2.0004797384719
1.453,1.9990013850227
1.505,1.9975385205152
1.557,1.9960842438007
1.609,1.9946327529558
1.660,1.9932071401451
1.712,1.9917473810267
1.764,1.9902778065688
1.816,1.9887953287262
1.868,1.9872972757271
1.920,1.9857813243255
1.972,1.9842454445198
2.024,1.9826878541809
2.076,1.9811069816063
2.128,1.9795014344546
2.180,1.9778699738446
2.232,1.9762114926598
2.284,1.974524997292
2.336,1.9728095922163
2.388,1.9710644669019
2.440,1.9692888846646
2.491,1.9675172150711
2.543,1.9656793740058
2.595,1.9638092307671
2.647,1.9619062604624
2.699,1.9599699760392
2.751,1.9579999236918
2.803,1.9559956788569
2.855,1.9539568427124
2.907,1.9518830391067
2.959,1.9497739118599
3.011,1.9476291223833
3.063,1.9454483475756
3.115,1.943231277958
3.167,1.940977616017
3.219,1.9386870747281
3.271,1.9363593762366
3.323,1.933994250677
3.374,1.9316380001471
3.426,1.929197969754
3.478,1.9267197453428
3.530,1.9242030793202
3.582,1.9216477277316
3.634,1.9190534496169
3.686,1.9164200064219
3.738,1.9137471614607
3.790,1.9110346794217
3.842,1.9082823259132
3.894,1.9054898670439
3.946,1.9026570690344
3.998,1.8997836978561
4.050,1.8968695188946
4.102,1.8939142966348
4.154,1.8909177943655
4.206,1.8878797739003
4.257,1.8848596171279
4.309,1.8817386484976
4.361,1.8785754404128
4.413,1.8753697463298
4.465,1.8721213170359
4.517,1.8688299004391
4.569,1.8654952413638
4.621,1.862117081353
4.673,1.8586951584753
4.725,1.8552292071362
4.777,1.8517189578932
4.829,1.8481641372731
4.881,1.8445644675922
4.933,1.8409196667773
4.985,1.8372294481887
5.037,1.8334935204425
5.088,1.8297847524406
5.140,1.8259574057584
5.192,1.8220834514792
5.244,1.8181625775726
5.296,1.8141944663737
5.348,1.8101787943986
5.400,1.8061152321586
5.452,1.8020034439713
5.504,1.797843087767

wl,k
0.3100,0
0.3619,0
0.4139,0
0.4658,0
0.5178,0
0.5697,0
0.6216,0
0.6736,0
0.7255,0
0.7775,0
0.8294,0
0.8813,0
0.9333,0
0.9852,0
1.037,0
1.089,0
1.141,0
1.193,0
1.245,0
1.297,0
1.349,0
1.401,0
1.453,0
1.505,0
1.557,0
1.609,0
1.660,0
1.712,0
1.764,0
1.816,0
1.868,0
1.920,0
1.972,0
2.024,0
2.076,0
2.128,0
2.180,0
2.232,0
2.284,0
2.336,0
2.388,0
2.440,0
2.491,0
2.543,0
2.595,0
2.647,0
2.699,0
2.751,0
2.803,0
2.855,0
2.907,0
2.959,0
3.011,0
3.063,0
3.115,0
3.167,0
3.219,0
3.271,0
3.323,0
3.374,0
3.426,0
3.478,0
3.530,0
3.582,0
3.634,0
3.686,0
3.738,0
3.790,0
3.842,0
3.894,0
3.946,0
3.998,0
4.050,0
4.102,0
4.154,0
4.206,0
4.257,0
4.309,0
4.361,0
4.413,0
4.465,0
4.517,0
4.569,0
4.621,0
4.673,0
4.725,0
4.777,0
4.829,0
4.881,0
4.933,0
4.985,0
5.037,0
5.088,0
5.140,0
5.192,0
5.244,0
5.296,0
5.348,0
5.400,0
5.452,0
5.504,0
